,,Region,,,,,,,,,,,,,,,,,
,,Mapstone - Cairns,Mapstone - Cairns,Mapstone - Capricorn bunker,Mapstone - Capricorn bunker,Mapstone - Far northern,Mapstone - Far northern,Mapstone - Gulf of carpentaria,Mapstone - Gulf of carpentaria,Mapstone - Mackay,Mapstone - Mackay,Mapstone - Sub tropical,Mapstone - Sub tropical,Mapstone - The swains,Mapstone - The swains,Mapstone - Townsville,Mapstone - Townsville,Days,Kilograms
CalendarYear,Month,Days,Kilograms,Days,Kilograms,Days,Kilograms,Days,Kilograms,Days,Kilograms,Days,Kilograms,Days,Kilograms,Days,Kilograms,,
1996,04 - April,N/A,N/A,,,,,,,N/A,N/A,,,,,N/A,N/A,N/A,N/A
1996,05 - May,N/A,N/A,,,,,N/A,N/A,,,,,,,N/A,N/A,19,10
1996,06 - June,N/A,N/A,,,,,N/A,N/A,,,,,,,N/A,N/A,N/A,N/A
1996,07 - July,N/A,N/A,,,,,N/A,N/A,,,,,,,N/A,N/A,20,48.58
1996,08 - August,17,20.9,,,,,N/A,N/A,,,,,,,N/A,N/A,33,34.9
1996,09 - September,24,25,,,,,N/A,N/A,,,,,N/A,N/A,24,0,63,118.62
1996,10 - October,30,19,,,,,N/A,N/A,N/A,N/A,,,,,32,23.3,77,98.3
1996,11 - November,18,0,,,,,N/A,N/A,N/A,N/A,,,,,36,35.95,63,49.95
1996,12 - December,18,6,,,,,N/A,N/A,N/A,N/A,,,,,N/A,N/A,44,104
1996 Total,,137,106.98,,,,,N/A,N/A,N/A,N/A,,,N/A,N/A,140,66.25,351,522.85
1997,01 - January,21,0,,,,,,,N/A,N/A,,,,,31,27.5,55,27.5
1997,02 - February,18,80,,,,,,,,,,,,,32,14.5,50,94.5
1997,03 - March,24,62.2,,,,,,,N/A,N/A,,,,,33,32.5,59,94.7
1997,04 - April,21,9.5,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,47,52,88,122.18
1997,05 - May,22,9.7,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,49,90.5,91,145
1997,06 - June,17,12.5,,,N/A,N/A,N/A,N/A,,,,,,,26,65,54,98
1997,07 - July,13,19,,,,,N/A,N/A,,,,,,,N/A,N/A,60,177.02
1997,08 - August,N/A,N/A,,,,,N/A,N/A,,,,,,,27,66.5,67,136
1997,09 - September,21,11.5,N/A,N/A,,,N/A,N/A,,,,,N/A,N/A,49,59.5,97,111.5
1997,10 - October,39,25.5,,,,,N/A,N/A,N/A,N/A,,,,,63,66.32,135,97.82
1997,11 - November,39,4,,,,,,,N/A,N/A,,,,,50,17,90,23
1997,12 - December,43,0,,,,,N/A,N/A,,,,,,,31,5,83,5
1997 Total,,297,246.9,N/A,N/A,N/A,N/A,138,234.4,14,79.6,,,N/A,N/A,462,540.32,929,"1,132.22"
1998,01 - January,48,0,,,,,,,N/A,N/A,,,,,24,0,73,0
1998,02 - February,25,54,N/A,N/A,,,N/A,N/A,N/A,N/A,,,,,37,84.76,67,172.76
1998,03 - March,24,13,,,,,N/A,N/A,N/A,N/A,,,,,35,28,74,142.4
1998,04 - April,27,20,,,,,N/A,N/A,N/A,N/A,,,,,40,58,97,205
1998,05 - May,29,36.5,,,,,N/A,N/A,,,,,N/A,N/A,37,39,104,525.5
1998,06 - June,17,20,,,N/A,N/A,N/A,N/A,,,,,,,34,93,88,235.28
1998,07 - July,23,25.5,,,N/A,N/A,25,102.28,,,,,,,51,63.5,101,191.28
1998,08 - August,31,74.34,,,,,N/A,N/A,,,N/A,N/A,,,45,58,110,210.62
1998,09 - September,44,71,,,N/A,N/A,48,107.84,,,N/A,N/A,,,77,28.44,177,215.78
1998,10 - October,57,25.5,,,,,N/A,N/A,,,,,,,107,160.6,191,186.1
1998,11 - November,52,7,,,,,N/A,N/A,,,,,,,79,326,154,342
1998,12 - December,53,55.34,,,,,N/A,N/A,,,,,,,55,74.4,115,129.74
1998 Total,,430,402.18,N/A,N/A,N/A,N/A,274,"1,024.18",N/A,N/A,N/A,N/A,N/A,N/A,621,"1,013.7",1351,"2,556.46"
1999,01 - January,43,0,,,N/A,N/A,,,N/A,N/A,,,,,46,36.58,92,51.58
1999,02 - February,30,37,,,,,N/A,N/A,N/A,N/A,,,,,44,103.94,85,155.94
1999,03 - March,46,66.78,,,,,N/A,N/A,N/A,N/A,,,,,55,98.5,119,245.78
1999,04 - April,44,43.76,,,N/A,N/A,59,994.86,,,,,,,72,101,177,"1,148.44"
1999,05 - May,39,47,,,,,52,227.82,,,,,,,67,149,158,423.82
