Region,CalendarYear,Month,Days,Kilograms
Mapstone - Cairns,1996,04 - April,N/A,N/A
Mapstone - Cairns,1996,05 - May,N/A,N/A
Mapstone - Cairns,1996,06 - June,N/A,N/A
Mapstone - Cairns,1996,07 - July,N/A,N/A
Mapstone - Cairns,1996,08 - August,17,20.9
Mapstone - Cairns,1996,09 - September,24,25
Mapstone - Cairns,1996,10 - October,30,19
Mapstone - Cairns,1996,11 - November,18,0
Mapstone - Cairns,1996,12 - December,18,6
Mapstone - Cairns,1996 Total,,137,106.98
Mapstone - Cairns,1997,01 - January,21,0
Mapstone - Cairns,1997,02 - February,18,80
Mapstone - Cairns,1997,03 - March,24,62.2
Mapstone - Cairns,1997,04 - April,21,9.5
Mapstone - Cairns,1997,05 - May,22,9.7
Mapstone - Cairns,1997,06 - June,17,12.5
Mapstone - Cairns,1997,07 - July,13,19
Mapstone - Cairns,1997,08 - August,N/A,N/A
Mapstone - Cairns,1997,09 - September,21,11.5
Mapstone - Cairns,1997,10 - October,39,25.5
Mapstone - Cairns,1997,11 - November,39,4
Mapstone - Cairns,1997,12 - December,43,0
Mapstone - Cairns,1997 Total,,297,246.9
Mapstone - Cairns,1998,01 - January,48,0
Mapstone - Cairns,1998,02 - February,25,54
Mapstone - Cairns,1998,03 - March,24,13
Mapstone - Cairns,1998,04 - April,27,20
Mapstone - Cairns,1998,05 - May,29,36.5
Mapstone - Cairns,1998,06 - June,17,20
Mapstone - Cairns,1998,07 - July,23,25.5
Mapstone - Cairns,1998,08 - August,31,74.34
Mapstone - Cairns,1998,09 - September,44,71
Mapstone - Cairns,1998,10 - October,57,25.5
Mapstone - Cairns,1998,11 - November,52,7
Mapstone - Cairns,1998,12 - December,53,55.34
Mapstone - Cairns,1998 Total,,430,402.18
Mapstone - Cairns,1999,01 - January,43,0
Mapstone - Cairns,1999,02 - February,30,37
Mapstone - Cairns,1999,03 - March,46,66.78
Mapstone - Cairns,1999,04 - April,44,43.76
Mapstone - Cairns,1999,05 - May,39,47
Mapstone - Cairns,1999,06 - June,30,50.64
Mapstone - Cairns,1999,07 - July,41,55.08
Mapstone - Cairns,1999,08 - August,34,22.94
Mapstone - Cairns,1999,09 - September,62,63.02
Mapstone - Cairns,1999,10 - October,57,138.51
Mapstone - Cairns,1999,11 - November,35,11
Mapstone - Cairns,1999,12 - December,26,0
Mapstone - Cairns,1999 Total,,487,535.73
Mapstone - Cairns,2000,01 - January,31,11.88
Mapstone - Cairns,2000,02 - February,12,0
Mapstone - Cairns,2000,03 - March,51,54.64
Mapstone - Cairns,2000,04 - April,45,44.2
Mapstone - Cairns,2000,05 - May,25,21.7
Mapstone - Cairns,2000,06 - June,18,20.58
Mapstone - Cairns,2000,07 - July,19,23.5
Mapstone - Cairns,2000,08 - August,43,75.9
Mapstone - Cairns,2000,09 - September,50,56
Mapstone - Cairns,2000,10 - October,62,63.14
Mapstone - Cairns,2000,11 - November,46,8
Mapstone - Cairns,2000,12 - December,35,0
Mapstone - Cairns,2000 Total,,437,379.54
Mapstone - Cairns,2001,01 - January,34,0
Mapstone - Cairns,2001,02 - February,39,23
Mapstone - Cairns,2001,03 - March,65,64.5
Mapstone - Cairns,2001,04 - April,52,107.32
Mapstone - Cairns,2001,05 - May,39,87.14
Mapstone - Cairns,2001,06 - June,46,33.94
Mapstone - Cairns,2001,07 - July,51,183.48
Mapstone - Cairns,2001,08 - August,57,69.5
Mapstone - Cairns,2001,09 - September,54,64.5
Mapstone - Cairns,2001,10 - October,73,98.82
Mapstone - Cairns,2001,11 - November,49,7
Mapstone - Cairns,2001,12 - December,68,8
Mapstone - Cairns,2001 Total,,627,747.2
Mapstone - Cairns,2002,01 - January,59,0
Mapstone - Cairns,2002,02 - February,41,45.1
Mapstone - Cairns,2002,03 - March,30,33.5
Mapstone - Cairns,2002,04 - April,41,70.94
Mapstone - Cairns,2002,05 - May,40,48.57
Mapstone - Cairns,2002,06 - June,32,17.88
Mapstone - Cairns,2002,07 - July,34,53.38
Mapstone - Cairns,2002,08 - August,51,44.5
Mapstone - Cairns,2002,09 - September,49,24.76
Mapstone - Cairns,2002,10 - October,58,43.64
Mapstone - Cairns,2002,11 - November,41,0
Mapstone - Cairns,2002,12 - December,36,21
Mapstone - Cairns,2002 Total,,512,403.27
Mapstone - Cairns,2003,01 - January,39,23
Mapstone - Cairns,2003,02 - February,55,55.1
Mapstone - Cairns,2003,03 - March,41,39.64
Mapstone - Cairns,2003,04 - April,57,55.52
Mapstone - Cairns,2003,05 - May,52,33.08
Mapstone - Cairns,2003,06 - June,46,72.98
Mapstone - Cairns,2003,07 - July,37,22.98
Mapstone - Cairns,2003,08 - August,42,32.68
Mapstone - Cairns,2003,09 - September,68,65.98
Mapstone - Cairns,2003,10 - October,84,83.12
Mapstone - Cairns,2003,11 - November,41,4
Mapstone - Cairns,2003,12 - December,45,0
Mapstone - Cairns,2003 Total,,607,488.08
Mapstone - Cairns,2004,01 - January,39,0
Mapstone - Cairns,2004,02 - February,44,55.5
Mapstone - Cairns,2004,03 - March,50,65.5
Mapstone - Cairns,2004,04 - April,63,72.94
Mapstone - Cairns,2004,05 - May,40,81.78
Mapstone - Cairns,2004,06 - June,33,38.5
Mapstone - Cairns,2004,07 - July,47,30
Mapstone - Cairns,2004,08 - August,66,42.5
Mapstone - Cairns,2004,09 - September,83,69.52
Mapstone - Cairns,2004,10 - October,70,66.64
